"TIME (SEC)   ","X (FT)       ","Y (FT)       ","Z (FT)       ","VX (FT/SEC)  ","VY (FT/SEC)  ","VZ (FT/SEC)  ","AX (FT/SEC^2)","AY (FT/SEC^2)","AZ (FT/SEC^2)","L11          ","L21          ","L31          ","L12          ","L22          ","L32          ","L13          ","L23          ","L33          ","LAT (DEG)    ","LONG (DEG)   ","ALT (FT)     ","VR (FT/SEC)  ","AR (FT/SEC^2)","RA(NM)       ","PAV (DEG)    ","T IIP (SEC)  ","PHI (DEG)    ","LAMBDA (DEG) ","R IIP (NM)   ","THRUST (LBS) ","WEIGHT (LBS) ","E (FT)       ","F (FT)       ","G (FT)       ","VE (FT/SEC)  ","VF (FT/SEC)  ","VG (FT/SEC)  ",
9.160000000000000e+02, 1.382921044984366e+07, -2.957605842129774e+05, -4.333226860512760e+06, 1.857894398999999e+04, -6.143827710999983e+02, -1.591420103000001e+04, -1.729258000000181e+01, -6.736382999991780e-01, -2.077696999999788e+01, 3.361933701000000e-01, 8.840668836000000e-01, -3.246532969000000e-01, -5.069992738000000e-01, 4.603961238000000e-01, 7.286886479000000e-01, 7.936786215000000e-01, -8.038130653000000e-02, 6.030033924000000e-01, 1.776018270281720e+01, -3.863163977358344e+01, 6.746437427275166e+05, 2.447072578401047e+04, 2.704014781757859e+01, 2.393367803589661e+03, -7.547013780617861e-01,                  Inf,                  Inf,                  Inf,                  NaN, 3.210193920000000e+04, 1.880000000000000e+01, 1.607430538881898e+07, -1.284648905178021e+07, 6.548058440316935e+06, 1.608763708245540e+04, 1.576646076194268e+04, -9.561541117495770e+03, 
9.170000000000000e+02, 1.384778074984366e+07, -2.963753040129765e+05, -4.349151451512758e+06, 1.856165140999999e+04, -6.150564093999975e+02, -1.593497800000001e+04, -1.731679999999817e+01, -6.712385000015184e-01, -2.075801000000388e+01, 3.313222932000000e-01, 8.856964977000000e-01, -3.252187756000000e-01, -5.079175789000000e-01, 4.579096850000000e-01, 7.296152777000000e-01, 7.951385232000000e-01, -7.655347385000000e-02, 6.015765077000000e-01, 1.773366519493276e+01, -3.856938808054343e+01, 6.743217824064830e+05, 2.447114058056107e+04, 2.704102628459360e+01, 2.397268859003040e+03, -7.530066670242598e-01,                  Inf,                  Inf,                  Inf,                  NaN, 3.210185720000000e+04, 1.880000000000000e+01, 1.609038297317598e+07, -1.283071480605478e+07, 6.538492303475065e+06, 1.606752751074991e+04, 1.578202775545554e+04, -9.570730428285437e+03, 
9.180000000000000e+02, 1.386633374984366e+07, -2.969906962129772e+05, -4.365096811512760e+06, 1.854433460999999e+04, -6.157276478999991e+02, -1.595573601000001e+04, -1.734099999999716e+01, -6.688360999999605e-01, -2.073899999999856e+01, 3.264423707000000e-01, 8.873025457000000e-01, -3.257753383000000e-01, -5.088221619000000e-01, 4.554186990000000e-01, 7.305435073000000e-01, 7.965772945000000e-01, -7.271864251000000e-02, 6.001471593000000e-01, 1.770712441686562e+01, -3.850715390517516e+01, 6.740005424849748e+05, 2.447155447217939e+04, 2.704188868641584e+01, 2.401170039372639e+03, -7.513108316930253e-01,                  Inf,                  Inf,                  Inf,                  NaN, 3.210177520000000e+04, 1.880000000000000e+01, 1.610644044177664e+07, -1.281492500055136e+07, 6.528916982781106e+06, 1.604739672226402e+04, 1.579757651674581e+04, -9.579906728182390e+03, 
9.190000000000000e+02, 1.388486940984366e+07, -2.976067584129775e+05, -4.381062920512757e+06, 1.852699360999999e+04, -6.163964839999990e+02, -1.597647501000001e+04, -1.736518000000775e+01, -6.664313999995412e-01, -2.071996999999886e+01, 3.215537328000000e-01, 8.888849849000000e-01, -3.263229696000000e-01, -5.097129981000000e-01, 4.529232322000000e-01, 7.314733114000001e-01, 7.979948975000000e-01, -6.887691454000000e-02, 5.987153866000000e-01, 1.768056042330801e+01, -3.844493726611298e+01, 6.736800141254497e+05, 2.447196744431520e+04, 2.704275807021960e+01, 2.405071342390893e+03, -7.496138755649142e-01,                  Inf,                  Inf,                  Inf,                  NaN, 3.210169320000000e+04, 1.880000000000000e+01, 1.612247775793904e+07, -1.279911965633250e+07, 6.519332492951167e+06, 1.602724474401073e+04, 1.581310700618244e+04, -9.589069992560646e+03, 
9.200000000000000e+02, 1.390338771984366e+07, -2.982234883129780e+05, -4.397049759512759e+06, 1.850962842999998e+04, -6.170629153999985e+02, -1.599719498000001e+04, -1.738932999999841e+01, -6.640242999992029e-01, -2.070090999999714e+01, 3.166565101000000e-01, 8.904437732000000e-01, -3.268616547000000e-01, -5.105900631000000e-01, 4.504233508000000e-01, 7.324046645000000e-01, 7.993912947000000e-01, -6.502839217000000e-02, 5.972812287000000e-01, 1.765397324518818e+01, -3.838273812091960e+01, 6.733602069387623e+05, 2.447237950192754e+04, 2.704362033729612e+01, 2.408972769519588e+03, -7.479157927130274e-01,                  Inf,                  Inf,                  Inf,                  NaN, 3.210161120000000e+04, 1.880000000000000e+01, 1.613849491452262e+07, -1.278329878997496e+07, 6.509738845839054e+06, 1.600707159867975e+04, 1.582861920998943e+04, -9.598220211385900e+03, 
9.210000000000000e+02, 1.392188865984366e+07, -2.988408833129751e+05, -4.413057308512758e+06, 1.849223909999998e+04, -6.177269396999977e+02, -1.601789589000001e+04, -1.741346000000066e+01, -6.616145999967379e-01, -2.068182000000236e+01, 3.117508335000000e-01, 8.919788691000000e-01, -3.273913787000000e-01, -5.114533329000000e-01, 4.479191214000000e-01, 7.333375409000000e-01, 8.007664492000000e-01, -6.117317780000000e-02, 5.958447249000000e-01, 1.762736292247378e+01, -3.832055644826178e+01, 6.730411248624427e+05, 2.447279065097560e+04, 2.704448190598314e+01, 2.412874320892073e+03, -7.462165662733791e-01,                  Inf,                  Inf,                  Inf,                  NaN, 3.210152920000000e+04, 1.880000000000000e+01, 1.615449189463786e+07, -1.276746241999961e+07, 6.500136054804494e+06, 1.598687732029734e+04, 1.584411310699489e+04, -9.607357370525671e+03, 
9.220000000000000e+02, 1.394037218984366e+07, -2.994589412129764e+05, -4.429085549512760e+06, 1.847482563999999e+04, -6.183885542999944e+02, -1.603857771000001e+04, -1.743757999999826e+01, -6.592025000013476e-01, -2.066269000000092e+01, 3.068368338000000e-01, 8.934902318000000e-01, -3.279121271000000e-01, -5.123027839000000e-01, 4.454106107000000e-01, 7.342719152000000e-01, 8.021203245000000e-01, -5.731137401000000e-02, 5.944059147000000e-01, 1.760072950798039e+01, -3.825839226333105e+01, 6.727227573792922e+05, 2.447320088979370e+04, 2.704534159940461e+01, 2.416775994411342e+03, -7.445162317865075e-01,                  Inf,                  Inf,                  Inf,                  NaN, 3.210144720000000e+04, 1.880000000000000e+01, 1.617046866131315e+07, -1.275161056583238e+07, 6.490524133433268e+06, 1.596666193299589e+04, 1.585958867490120e+04, -9.616481454906718e+03, 
9.230000000000000e+02, 1.395883829984366e+07, -3.000776595129757e+05, -4.445134463512759e+06, 1.845738805999999e+04, -6.190477567999958e+02, -1.605924040000001e+04, -1.746165999999814e+01, -6.567882000027449e-01, -2.064354000000211e+01, 3.019146424000000e-01, 8.949778210000000e-01, -3.284238856000000e-01, -5.131383930000000e-01, 4.428978853000000e-01, 7.352077617000000e-01, 8.034528850000000e-01, -5.344308356000000e-02, 5.929648375000000e-01, 1.757407303312571e+01, -3.819624552330767e+01, 6.724051140268422e+05, 2.447361020257579e+04, 2.704619537803580e+01, 2.420677791533897e+03, -7.428147633825781e-01,                  Inf,                  Inf,                  Inf,                  NaN, 3.210136520000000e+04, 1.880000000000000e+01, 1.618642520740956e+07, -1.273574324395331e+07, 6.480903093754231e+06, 1.594642545245110e+04, 1.587504588142481e+04, -9.625592444088768e+03, 
9.240000000000000e+02, 1.397728694984366e+07, -3.006970359129763e+05, -4.461204028512761e+06, 1.843992639999999e+04, -6.197045449999986e+02, -1.607988394000001e+04, -1.748572999999935e+01, -6.543711999978809e-01, -2.062436000000128e+01, 2.969843906000000e-01, 8.964415971000000e-01, -3.289266403000000e-01, -5.139601372000000e-01, 4.403810120000000e-01, 7.361450547000000e-01, 8.047640953000000e-01, -4.956840936000000e-02, 5.915215327000000e-01, 1.754739355372350e+01, -3.813411624958361e+01, 6.720881872317048e+05, 2.447401860921865e+04, 2.704705493597994e+01, 2.424579709755288e+03, -7.411121904405160e-01,                  Inf,                  Inf,                  Inf,                  NaN, 3.210128320000000e+04, 1.880000000000000e+01, 1.620236149653239e+07, -1.271986047720666e+07, 6.471272951351239e+06, 1.592616792114273e+04, 1.589048471518629e+04, -9.634690329656460e+03, 
9.250000000000000e+02, 1.399571813984366e+07, -3.013170678129770e+05, -4.477294228512759e+06, 1.842244066999999e+04, -6.203589161999964e+02, -1.610050830000001e+04, -1.750976999999555e+01, -6.519520000001547e-01, -2.060513999999975e+01, 2.920462102000000e-01, 8.978815212000000e-01, -3.294203772000000e-01, -5.147679940000000e-01, 4.378600579000000e-01, 7.370837687000000e-01, 8.060539209000001e-01, -4.568745452000000e-02, 5.900760401000000e-01, 1.752069109176208e+01, -3.807200437451193e+01, 6.717719906622762e+05, 2.447442610037972e+04, 2.704789975733122e+01, 2.428481752052705e+03, -7.394084795061620e-01,                  Inf,                  Inf,                  Inf,                  NaN, 3.210120120000000e+04, 1.880000000000000e+01, 1.621827753100682e+07, -1.270396227820163e+07, 6.461633716142044e+06, 1.590588935330858e+04, 1.590590515271390e+04, -9.643775095683315e+03, 
9.260000000000000e+02, 1.401413181984366e+07, -3.019377528129773e+05, -4.493405041512762e+06, 1.840493089999999e+04, -6.210108681999966e+02, -1.612111344000001e+04, -1.753380000000500e+01, -6.495302999992146e-01, -2.058590000000086e+01, 2.871002330000000e-01, 8.992975550000000e-01, -3.299050829000000e-01, -5.155619413000000e-01, 4.353350900000000e-01, 7.380238777000000e-01, 8.073223277000000e-01, -4.180032230000000e-02, 5.886283991000000e-01, 1.749396571089719e+01, -3.800990993880242e+01, 6.714565101698140e+05, 2.447483267516953e+04, 2.704875802806532e+01, 2.432383914709262e+03, -7.377036601719692e-01,                  Inf,                  Inf,                  Inf,                  NaN, 3.210111920000001e+04, 1.880000000000000e+01, 1.623417326454354e+07, -1.268804867095657e+07, 6.451985404563732e+06, 1.588558978441358e+04, 1.592130716407233e+04, -9.652846723435530e+03, 
9.270000000000000e+02, 1.403252798984366e+07, -3.025590887129782e+05, -4.509536449512758e+06, 1.838739709999999e+04, -6.216603984999958e+02, -1.614169934000001e+04, -1.755780000000051e+01, -6.471061000030797e-01, -2.056661999999829e+01, 2.821465912000000e-01, 9.006896608000000e-01, -3.303807441000000e-01, -5.163419574000000e-01, 4.328061754000000e-01, 7.389653561000000e-01, 8.085692822000000e-01, -3.790711613000000e-02, 5.871786495000000e-01, 1.746721743351720e+01, -3.794783287844471e+01, 6.711417609148749e+05, 2.447523833075192e+04, 2.704960157505113e+01, 2.436286200492646e+03, -7.359977202053409e-01,                  Inf,                  Inf,                  Inf,                  NaN, 3.210103720000000e+04, 1.880000000000000e+01, 1.625004869975261e+07, -1.267211967000750e+07, 6.442328027139248e+06, 1.586526922725363e+04, 1.593669073435980e+04, -9.661905201938042e+03, 
9.280000000000000e+02, 1.405090660984366e+07, -3.031810728129767e+05, -4.525688433512759e+06, 1.836983929999999e+04, -6.223075045999989e+02, -1.616226596000001e+04, -1.758177999999865e+01, -6.446796999953398e-01, -2.054731999999835e+01, 2.771854169000000e-01, 9.020578015000000e-01, -3.308473477000000e-01, -5.171080209000000e-01, 4.302733815000000e-01, 7.399081780000000e-01, 8.097947514000000e-01, -3.400793960000000e-02, 5.857268310000000e-01, 1.744044631432165e+01, -3.788577320897650e+01, 6.708277328378090e+05, 2.447564306611535e+04, 2.705045210465567e+01, 2.440188607212893e+03, -7.342906638694249e-01,                  Inf,                  Inf,                  Inf,                  NaN, 3.210095520000000e+04, 1.880000000000000e+01, 1.626590379981044e+07, -1.265617529540517e+07, 6.432661598369619e+06, 1.584492771729606e+04, 1.595205583378610e+04, -9.670950512194477e+03, 
9.290000000000000e+02, 1.406926765984366e+07, -3.038037029129772e+05, -4.541860973512759e+06, 1.835225751999999e+04, -6.229521842999942e+02, -1.618281328000001e+04, -1.760573999999942e+01, -6.422509000038129e-01, -2.052798999999938e+01, 2.722168426000000e-01, 9.034019407000000e-01, -3.313048810000000e-01, -5.178601106000000e-01, 4.277367756000000e-01, 7.408523177000000e-01, 8.109987031000000e-01, -3.010289646000000e-02, 5.842729835000000e-01, 1.741365239227939e+01, -3.782373090877844e+01, 6.705144295800694e+05, 2.447604688587732e+04, 2.705130201314180e+01, 2.444091135004168e+03, -7.325825073477588e-01,                  Inf,                  Inf,                  Inf,                  NaN, 3.210087320000000e+04, 1.880000000000000e+01, 1.628173854782430e+07, -1.264021556586391e+07, 6.422986131264482e+06, 1.582456527722980e+04, 1.596740244852684e+04, -9.679982644258047e+03, 
9.300000000000000e+02, 1.408761111984366e+07, -3.044269764129767e+05, -4.558054050512758e+06, 1.833465177999999e+04, -6.235944351999981e+02, -1.620334127000001e+04, -1.762968000000581e+01, -6.398195000000887e-01, -2.050861000000401e+01, 2.672410012000000e-01, 9.047220426000000e-01, -3.317533314000000e-01, -5.185982062000000e-01, 4.251964252000000e-01, 7.417977491000000e-01, 8.121811053000000e-01, -2.619209062000000e-02, 5.828171467000000e-01, 1.738683570664430e+01, -3.776170595409174e+01, 6.702018539927560e+05, 2.447644978802185e+04, 2.705213614536659e+01, 2.447993784101690e+03, -7.308732475818545e-01,                  Inf,                  Inf,                  Inf,                  NaN, 3.210079120000000e+04, 1.880000000000000e+01, 1.629755292676065e+07, -1.262424049903787e+07, 6.413301638705921e+06, 1.580418193118568e+04, 1.598273055618765e+04, -9.689001583230564e+03, 
9.310000000000000e+02, 1.410593695984366e+07, -3.050508910129765e+05, -4.574267645512759e+06, 1.831702209999998e+04, -6.242342546999981e+02, -1.622384988000001e+04, -1.765358999999825e+01, -6.373858999985602e-01, -2.048922999999670e+01, 2.622580254000000e-01, 9.060180722000000e-01, -3.321926866000000e-01, -5.193222871000000e-01, 4.226523978000000e-01, 7.427444464000000e-01, 8.133419270000000e-01, -2.227562613000000e-02, 5.813593607000001e-01, 1.735999630351725e+01, -3.769969834092685e+01, 6.698900023770575e+05, 2.447685175722983e+04, 2.705298591036339e+01, 2.451896553532931e+03, -7.291628665917801e-01,                  Inf,                  Inf,                  Inf,                  NaN, 3.210070920000000e+04, 1.880000000000000e+01, 1.631334690968811e+07, -1.260825011394883e+07, 6.403608134079172e+06, 1.578377770617666e+04, 1.599804011713751e+04, -9.698007304486046e+03, 
9.320000000000000e+02, 1.412424515984366e+07, -3.056754442129780e+05, -4.590501739512757e+06, 1.829936850999999e+04, -6.248716405999967e+02, -1.624433911000001e+04, -1.767747999999630e+01, -6.349497999992261e-01, -2.046979000000625e+01, 2.572680483000000e-01, 9.072899948000001e-01, -3.326229346000000e-01, -5.200323336000000e-01, 4.201047612000000e-01, 7.436923837000000e-01, 8.144811375000000e-01, -1.835360720000000e-02, 5.798996653000000e-01, 1.733313422189409e+01, -3.763770804544578e+01, 6.695788775127090e+05, 2.447725281874339e+04, 2.705381235691459e+01, 2.455799443534112e+03, -7.274513984653187e-01,                  Inf,                  Inf,                  Inf,                  NaN, 3.210062720000000e+04, 1.880000000000000e+01, 1.632912047957233e+07, -1.259224442829931e+07, 6.393905630178798e+06, 1.576335263190655e+04, 1.601333113610791e+04, -9.706999808396156e+03, 
9.330000000000000e+02, 1.414253568984366e+07, -3.063006336129766e+05, -4.606756312512759e+06, 1.828169102999999e+04, -6.255065903999960e+02, -1.626480890000002e+04, -1.770136000000463e+01, -6.325114000018695e-01, -2.045033999999027e+01, 2.522712032000000e-01, 9.085377768000000e-01, -3.330440635000000e-01, -5.207283262000000e-01, 4.175535831000000e-01, 7.446415349000000e-01, 8.155987067000000e-01, -1.442613820000000e-02, 5.784381006000000e-01, 1.730624950881184e+01, -3.757573506498110e+01, 6.692684763650595e+05, 2.447765295048804e+04, 2.705465990612520e+01, 2.459702453031121e+03, -7.257388094529866e-01,                  Inf,                  Inf,                  Inf,                  NaN, 3.210054520000000e+04, 1.880000000000000e+01, 1.634487360962677e+07, -1.257622346192937e+07, 6.384194140955193e+06, 1.574290673682780e+04, 1.602860356475275e+04, -9.715979065646077e+03, 
9.340000000000000e+02, 1.416080853984366e+07, -3.069264567129780e+05, -4.623031345512760e+06, 1.826398966999998e+04, -6.261391017999978e+02, -1.628525924000001e+04, -1.772520999999901e+01, -6.300705999979736e-01, -2.043085000000342e+01, 2.472676235000000e-01, 9.097613847000000e-01, -3.334560619000000e-01, -5.214102457000001e-01, 4.149989313000000e-01, 7.455918741000001e-01, 8.166946051000000e-01, -1.049332362000000e-02, 5.769747066000001e-01, 1.727934219567570e+01, -3.751377935607997e+01, 6.689588081954154e+05, 2.447805215605757e+04, 2.705549279217967e+01, 2.463605583464245e+03, -7.240251271439199e-01,                  Inf,                  Inf,                  Inf,                  NaN, 3.210046320000000e+04, 1.880000000000000e+01, 1.636060629271250e+07, -1.256018723131907e+07, 6.374473678437204e+06, 1.572244003229445e+04, 1.604385739674022e+04, -9.724945070212154e+03, 
